Support Cluster,Support Item,Support Item Ref No,Support Item Description,Unit of Measure,Quote Required,List Price,Support Categories,Support Category Number
Vehicle modifications,adapt car self-drive electro mechanical,12 12 18 03,"Costs related to installing self-drive equipment. Includes installation automated doors, wheelchair docking, adaptions to steering, brake, gears and installation of electro mechanical controls.",Each,Y,$1.00 ,Vehicle modifications,6
Vehicle modifications,car modifications - self drive from driver seat,12 12 18 04,Includes spinners and accelerator control.,Each,Y,$1.00 ,Vehicle modifications,6
Vehicle modifications,car mounted hoist for wheelchair or scooter,12 12 21 01,Electronic or mechanical hoist mounted to car to lift wheelchair or scooter for transport.,Each,Y,$1.00 ,Vehicle modifications,6
Vehicle modifications,tie downs for vehicle,12 12 24 01,system to hold a wheelchair safely and steady whilst in transit- not for restraining the occupant,Each,Y,$650.00 ,Vehicle modifications,6
Vehicle modifications,adapt vehicle chassis and body,12 12 27 00,,Each,Y,$1.00 ,Vehicle modifications,6
Vehicle modifications,trailers to carry wheelchairs,12 12 30 00,,Each,Y,$1.00 ,Vehicle modifications,6
Home Modification,stair climber directed by attendant for wheelchair,12 17 03 00,Portable tracked device which a wheelchair attaches to and then is tracked upstairs by attendant.,Each,Y,$1.00 ,Home modifications,7
Assistive Equip-Recreation,hand-propelled bicycles,12 18 05 00,,Each,Y,$1.00 ,Assistive technology,5
Assistive Equip-Recreation,specialist tricycles,12 18 09 00,,Each,Y,$1.00 ,Assistive technology,5
Assistive Equip-Recreation,disability specific cycle adaptions,12 18 21 00,,Each,Y,"$3,000.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- manually propelled- average folding,12 22 03 00,,Each,Y,$400.00 ,Assistive technology,5
Personal Mobility Equipment,wheelchair- manual- basic folding adult,12 22 03 01,,Each,Y,$600.00 ,Assistive technology,5
Personal Mobility Equipment,wheelchair- manual transit adult,12 22 03 02,"Wheelchairs that cannot be self-propelled, so are propelled by an attendant.",Each,Y,$400.00 ,Assistive technology,5
Personal Mobility Equipment,wheelchair- manual child folding,12 22 03 10,,Each,Y,"$1,200.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- manual custom adult folding,12 22 03 20,frame is made to individual measurements,Each,Y,"$1,400.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- manual custom child folding,12 22 03 31,frame is made to individual measurements,Each,Y,"$2,050.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- manual custom adult bariatric,12 22 03 40,Manual wheelchair for person with increased weight in obese range.,Each,Y,"$3,590.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- manual custom adult rigid frame,12 22 03 51,frame is made to individual measurements,Each,Y,"$2,400.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- manual custom made steel frame,12 22 03 54,frame is made to individual measurements,Each,Y,"$3,500.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- manual custom made lightweight frame,12 22 03 56,"Frame that is made to individual measurements. Made of titanium, aluminium or other lightweight material.",Each,Y,"$5,500.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- manual custom child rigid frame,12 22 03 60,frame is made to individual measurements,Each,Y,"$2,500.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- manual tilt in space- adult,12 22 03 70,Manual frame with seat and back rest able to be tipped as a unit past 90 degrees,Each,Y,"$3,250.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- manual tilt in space- child,12 22 03 80,Manual frame with seat and back rest able to be tipped as a unit past 90 degrees,Each,Y,"$2,800.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- manual + customised seating,12 22 03 90,wheelchair and customised seating,Each,Y,"$4,200.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- manual amputee,12 22 03 91,"Manual wheelchair. For example, balanced for lower limb amputee.",Each,Y,$800.00 ,Assistive technology,5
Personal Mobility Equipment,wheelchair- manual- one arm drive/lever,12 22 09 00,manual wheelchair propelled by lever or dual hand rims,Each,Y,$900.00 ,Assistive technology,5
Personal Mobility Equipment,wheelchair- manual + power assisted wheels,12 22 12 00,manual wheelchair with powered wheels that amplify pushing effort,Each,Y,"$4,000.00 ",Assistive technology,5
Personal Mobility Equipment,scooters- 3 wheels,12 23 03 01,,Each,Y,"$2,600.00 ",Assistive technology,5
Personal Mobility Equipment,scooters- 4 wheels,12 23 03 10,,Each,Y,"$2,320.00 ",Assistive technology,5
Personal Mobility Equipment,scooters- 4 wheels heavy duty,12 23 03 11,,Each,Y,"$3,710.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- powered basic adult folding RWD,12 23 06 01,Rear wheel drive power chair which folds when disassembled.,Each,Y,"$5,100.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- powered basic adult RWD,12 23 06 10,rear wheel drive,Each,Y,"$5,850.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- powered basic adult MWD,12 23 06 11,mid wheel drive,Each,Y,"$5,850.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- powered basic child RWD,12 23 06 22,rear wheel drive,Each,Y,"$8,800.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- powered basic child MWD,12 23 06 30,mid wheel drive,Each,Y,"$8,450.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- powered tilt in space adult RWD,12 23 06 31,rear wheel drive with seat and back rest able to be tipped as a unit past 90 degrees,Each,Y,"$7,050.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- powered tilt in space adult MWD,12 23 06 32,mid wheel drive with seat and back rest able to be tipped as a unit past 90 degrees,Each,Y,"$7,050.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- powered with powered recline or leg elevation,12 23 06 33,,Each,Y,"$15,000.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- powered tilt in space child RWD,12 23 06 35,rear wheel drive with seat and back rest able to be tipped as a unit past 90 degrees,Each,Y,"$10,720.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- powered tilt in space child MWD,12 23 06 36,mid wheel drive with seat and back rest able to be tipped as a unit past 90 degrees,Each,Y,"$10,830.00 ",Assistive technology,5
Personal Mobility Equipment,"wheelchair- powered TIS, recline adult RWD",12 23 06 40,"Rear wheel drive with seat and back rest, able to be tipped as a unit past 90 degrees.",Each,Y,"$7,800.00 ",Assistive technology,5
Personal Mobility Equipment,"wheelchair- powered TIS, recline adult MWD",12 23 06 41,"Mid wheel drive with seat and back rest, able to be tipped as a unit past 90 degrees.",Each,Y,"$7,800.00 ",Assistive technology,5
Personal Mobility Equipment,"wheelchair- powered TIS, recline child RWD",12 23 06 42,"Rear wheel drive with seat and back rest, able to be tipped as a unit past 90 degrees.",Each,Y,"$13,500.00 ",Assistive technology,5
Personal Mobility Equipment,"wheelchair- powered TIS, recline child MWD",12 23 06 43,"Mid wheel drive with seat and back rest, able to be tipped as a unit past 90 degrees.",Each,Y,"$13,100.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- powered with powered seat elevation,12 23 06 44,,Each,Y,"$15,000.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- powered with powered standing mechanism,12 23 06 50,,Each,Y,"$15,000.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- powered four wheel drive wheelchair,12 23 06 70,,Each,Y,"$16,000.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- powered - bariatric over 200kg,12 23 06 80,Powered wheelchair for person with increased weight in obese range.,Each,Y,$1.00 ,Assistive technology,5
Personal Mobility Equipment,wheelchair- powered attendant controlled,12 23 12 00,powered chair with attendant control instead of or as well as participant control,Each,Y,"$15,000.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair- powered stair climbing,12 23 15 00,,Each,Y,$1.00 ,Assistive technology,5
Personal Mobility Equipment,wheelchair alternate controls,12 24 03 00,controls other than joy stick,Each,Y,$1.00 ,Assistive technology,5
Vehicle modifications,wheelchair-based restraint system,12 24 30 00,,Each,Y,$1.00 ,Vehicle modifications,6
Personal Mobility Equipment,"pram or stroller- oversized, some minor supports",12 27 07 01,,Each,Y,"$1,600.00 ",Assistive technology,5
Personal Mobility Equipment,"pram or stroller- oversized, little or no supports",12 27 07 02,,Each,Y,$680.00 ,Assistive technology,5
Personal Mobility Equipment,pram or stroller- specialised with adjustable seating,12 27 07 03,,Each,Y,"$6,985.00 ",Assistive technology,5
Personal Mobility Equipment,alternate base for stroller,12 27 07 04,Hi lo or other base for specialised stroller seating,Each,Y,"$2,300.00 ",Assistive technology,5
Personal Mobility Equipment,crawlers and mobility boards,12 27 15 00,floor level cart or wheel device for floor mobility,Each,Y,$1.00 ,Assistive technology,5
Personal Mobility Equipment,wheeled stretcher- self propelled,12 27 18 00,,Each,Y,$1.00 ,Assistive technology,5
Personal Mobility Equipment,transfer equipment- slide sheet,12 31 03 00,,Each,Y,$30.00 ,Assistive technology,5
Personal Mobility Equipment,board transfer wood,12 31 03 10,,Each,N,$70.00 ,Assistive technology,5
Personal Mobility Equipment,car transfer pad,12 31 03 14,,Each,Y,$100.00 ,Assistive technology,5
Personal Mobility Equipment,transfer turn table,12 31 06 01,,Each,Y,$90.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,bed sticks- standard,12 31 09 02,,Each,N,$40.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,bed sticks-townsend long,12 31 09 05,,Each,N,$85.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,bed pole for electric bed,12 31 09 07,,Each,N,$145.00 ,Assistive technology,5
Personal Mobility Equipment,grip ladder,12 31 12 01,,Each,Y,$20.00 ,Assistive technology,5
Personal Mobility Equipment,transfer belt,12 31 15 01,,Each,Y,$80.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,bath transfer bench no back,12 31 21 01,,Each,Y,$250.00 ,Assistive technology,5
Personal Mobility Equipment,hoist- mobile- 150 kg,12 36 03 01,,Each,Y,"$2,685.00 ",Assistive technology,5
Personal Mobility Equipment,hoist- mobile > 200 kg,12 36 03 02,,Each,Y,"$2,900.00 ",Assistive technology,5
Personal Mobility Equipment,hoist mobile- 200 kg,12 36 03 03,,Each,Y,"$3,095.00 ",Assistive technology,5
Personal Mobility Equipment,sling mesh\poly small,12 36 03 51,,Each,Y,$180.00 ,Assistive technology,5
Personal Mobility Equipment,sling commode head support medium,12 36 03 52,,Each,Y,$180.00 ,Assistive technology,5
Personal Mobility Equipment,sling head support small,12 36 03 53,,Each,Y,$180.00 ,Assistive technology,5
Personal Mobility Equipment,sling head support large,12 36 03 58,,Each,Y,$202.00 ,Assistive technology,5
Personal Mobility Equipment,sling average,12 36 03 98,,Each,Y,$300.00 ,Assistive technology,5
Personal Mobility Equipment,"hoist - mobile, standing position",12 36 04 01,,Each,Y,"$3,700.00 ",Assistive technology,5
Personal Mobility Equipment,"hoist mobile, sitting position solid seat",12 36 06 00,,Each,Y,$1.00 ,Assistive technology,5
Personal Mobility Equipment,hoist- fixed to wall floor or ceiling,12 36 12 01,,Each,Y,"$3,440.00 ",Assistive technology,5
Personal Mobility Equipment,hoist- fixed to wall floor or ceiling with installation,12 36 12 02,,Each,Y,"$6,870.00 ",Assistive technology,5
Vision Equipment,tactile sticks or white canes,12 39 03 00,,Each,Y,$1.00 ,Assistive technology,5
Vision Equipment,assistive products for electronic orientation,12 39 06 00,Ultra sonic sensing devices to assist orientation,Each,Y,$1.00 ,Assistive technology,5
Vision Equipment,assistive products for acoustic navigation,12 39 09 00,Devices that give auditory prompts to assist with navigation.,Each,Y,$1.00 ,Assistive technology,5
Vision Equipment,tactile maps,12 39 15 00,,Each,Y,$1.00 ,Assistive technology,5
Community Nursing Care,individual assessment and support by a Nurse,13 002,"Provision of care, training and supervision of a delegated worker to respond to the complex care needs of a participant where that care is not the usual responsibility of the Health System.",Hour,N,$92.11 ,Improved daily living skills,4
Daily Tasks/Shared Living,assistance in living arrangements (host family/alternative family situation),14 001,Agreement for a participant with high support needs to stay with a host family. The host family will have minimum qualifications & provide support in the home for the agreed time. The quote will reflect the hours of assistance required & length of stay.,Day,Y,$1.00 ,Supported independent living,3
Daily Tasks/Shared Living,assistance in a shared living arrangement (hourly rate per person ),14 002,"Daily living support provided in a shared living arrangement. This rate is paid by the hour for one-to-one assistance, divided by the number of people supported.",Each,Y,$1.00 ,Supported independent living,3
Daily Tasks/Shared Living,assistance in a shared living arrangement for 2 persons - complex needs,14 003,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Each,Y,"$4,626.70 ",Supported independent living,3
Daily Tasks/Shared Living,assistance in a shared living arrangement for 3 persons - complex needs,14 004,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant",Each,Y,"$4,006.83 ",Supported independent living,3
Daily Tasks/Shared Living,assistance in a shared living arrangement for 4 persons - complex needs,14 005,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Each,Y,"$3,181.06 ",Supported independent living,3
Daily Tasks/Shared Living,assistance in a shared living arrangement for 5 persons - complex needs,14 006,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Each,Y,"$2,796.50 ",Supported independent living,3
Daily Tasks/Shared Living,assistance in a shared living arrangement for 6 persons - complex needs,14 007,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Each,Y,"$2,507.81 ",Supported independent living,3
Daily Tasks/Shared Living,assistance in a shared living arrangement for 7 persons or more - complex needs,14 008,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Each,Y,"$2,507.81 ",Supported independent living,3
Daily Tasks/Shared Living,assistance in a shared living arrangement for 2 persons - standard,14 009,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Each,Y,"$3,573.25 ",Supported independent living,3
Daily Tasks/Shared Living,assistance in a shared living arrangement for 3 persons - standard,14 010,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Each,Y,"$2,950.11 ",Supported independent living,3
Daily Tasks/Shared Living,assistance in a shared living arrangement for 4 persons - standard,14 011,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Each,Y,"$2,285.57 ",Supported independent living,3
Daily Tasks/Shared Living,assistance in a shared living arrangement for 5 persons - standard,14 012,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Each,Y,"$2,188.61 ",Supported independent living,3
Daily Tasks/Shared Living,assistance in a shared living arrangement for 6 persons - standard,14 013,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Each,Y,"$2,121.06 ",Supported independent living,3
Daily Tasks/Shared Living,assistance in a shared living arrangement for 7 persons or more - standard,14 014,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Each,Y,"$2,121.06 ",Supported independent living,3
Daily Tasks/Shared Living,assistance in a shared living arrangement for 3 persons - lower needs,14 015,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Each,Y,"$1,808.41 ",Supported independent living,3
Daily Tasks/Shared Living,assistance in a shared living arrangement for 4 persons - lower needs,14 016,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Each,Y,"$1,796.43 ",Supported independent living,3
Daily Tasks/Shared Living,assistance in a shared living arrangement for 5 persons - lower needs,14 017,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Each,Y,"$1,746.32 ",Supported independent living,3
Daily Tasks/Shared Living,assistance in a shared living arrangement for 6 persons - lower needs,14 018,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Each,Y,"$1,613.41 ",Supported independent living,3
Daily Tasks/Shared Living,assistance in a shared living arrangement for 7 persons or more - lower needs,14 019,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Each,Y,"$1,613.41 ",Supported independent living,3
Daily Tasks/Shared Living,short term accommodation and assistance,14 022,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",Day,N,$462.09 ,Supported independent living,3
Daily Tasks/Shared Living,assistance in individual living arrangement for person with complex needs,14 026,,Each,Y,$1.00 ,Supported independent living,3
Daily Tasks/Shared Living,assistance in a shared living arrangement for 2 persons - lower needs,14 027,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Each,Y,"$2,079.67 ",Supported independent living,3
Innov Community Participation,Innovative Community Participation,14 028,Mainstream services that promote inclusion of people with disability to expand opportunities for community participation and employment.,Each,N,$1.00 ,Increased social and community participation,9
Development-Life Skills,Skills development in a group,15 002,Training for the participant in a group of 3 or more to increase their independence in daily personal activities.,Hour,N,$17.99 ,Increased social and community participation,9
Development-Life Skills,"Individual personal life skills development & training, includes public transport training & support",15 004,Individual training provided in the home for general life skills to increase independence.,Hour,N,$41.18 ,Improved daily living skills,4
Development-Life Skills,individual social skills development,15 005,"Social skills development with an individual, for participation in community and social activities.",Hour,N,$53.99 ,Improved relationships,11
Development-Life Skills,training for carers/parents,15 008,Training for carers in matters related to caring for a person with disability,Hour,N,$53.99 ,Improved daily living skills,4
Development-Life Skills,training in planning and plan management,15 009,training in planning and plan management for participants unable to do this independently but who could do all or part of the task with training.,Hour,N,$53.99 ,Improved life choices,14
Development-Life Skills,individual skills development and training,15 011,"Individual life skills development and training including public transport training and support, developing skills for community, social and recreational participation. ",Hour,N,$53.99 ,Increased social and community participation,9
Assist Prod-Pers Care/Safety,HEN pump and syringe feeds- annual,15 09 30 01,"Pump often free on loan, includes gastrostomy, extension tubes, giving sets, containers and syringes.",Each,Y,"$2,442.00 ","Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,HEN pump only- annual,15 09 30 02,Pump often free on loan but includes other consumables for people who do not also syringe feed,Each,Y,"$2,142.00 ","Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,HEN bolus syringe only- annual,15 09 30 03,average annual allocation,Each,Y,$925.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,additional gastrostomy devices- 3 annual,15 09 30 20,average annual allocation,Each,Y,$280.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,additional extension sets for bolus feeding- 10 annual,15 09 30 21,average annual allocation,Each,Y,$140.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,additional extension sets for pump feeding- 10 annual,15 09 30 22,average annual allocation,Each,Y,$140.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,additional giving sets- 270 annual,15 09 30 23,average annual allocation,Each,Y,$950.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,additional containers- 50 annual,15 09 30 24,average annual allocation,Each,Y,$165.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,additional bolus syringes- 100 annual,15 09 30 25,average annual allocation,Each,Y,$60.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,additional water flush syringes- 100 annual,15 09 30 26,average annual allocation,Each,N,$50.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,Other HEN equipment including additional cost of food when necessary.,15 09 30 27,HEN equipment outside usual 12 month bundles,Each,Y,$500.00 ,"Assistance with daily life at home in the community, education and at work",1
Early Childhood Supports,specialised group early childhood interventions,16 003,"Group based specialist interventions to assist a child with disability or developmental delay and their family in home, care, community and education settings. Maximum group of 4.",Hour,N,$57.38 ,Improved daily living skills,4
Early Childhood Supports,specialised individual therapy for early childhood,16 005,"Individual specialist interventions to assist a child with disability or developmental delay and their family in home, care, community and education settings.",Hour,N,$172.13 ,Improved daily living skills,4
Early Childhood Supports,transdisciplinary early childhood intervention,16 006,"A coordinated & integrated program where multiple professionals share responsibility in evaluating, planning & implementing supports to improve capacity of a child with disability or developmental delay & their family. Quote based on annual amount.",Each,Y,"$12,595.18 ",Improved daily living skills,4
Equipment Special Assess Setup,Referral to Australian Hearing Community Service obligation program,17 020,For more info see http://hearingservices.gov.au/wps/portal/hso/site/eligibility/!ut/p/a1/04_Sj9CPykssy0xPLMnMz0vMAfGjzOJ9PA2MDI1MDLz8jc2NDDzNg0LNzExdDQ28TPULsh0VAaWtp70!/,Each,Y,$1.00 ,Assistive technology,5
Equipment Special Assess Setup,Selection and/or manufacture of customised or wearable technology,17 021,Selection and/or manufacture of customised or wearable technology.,Hour,N,$155.34 ,Improved daily living skills,4
Assist Prod-Pers Care/Safety,electric lift chairs- sit to stand,18 09 03 00,Chairs with an in built mechanical or electric system to assist participant in movement to a standing position.,Each,Y,"$1,300.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,lounge chairs with moulded seating,18 09 21 00,custom fit seating for people with body shape or pressure care needs to accommodate,Each,Y,$1.00 ,Assistive technology,5
Personal Mobility Equipment,modular seating systems,18 09 39 00,custom fit seating for people with body shape or pressure care needs to accommodate,Each,Y,$1.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,adult postural chair with pressure relief- air type,18 09 39 01,custom fit seating for people with body shape or pressure care needs to accommodate,Each,Y,"$2,120.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,child postural chair with pressure relief- air type,18 09 39 02,custom fit seating for people with body shape or pressure care needs to accommodate,Each,Y,"$2,680.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,"child postural chair- feeding, minimum components- small",18 09 39 03,feeding seat for a child with basic supports,Each,Y,$970.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,"child postural chair- feeding, minimum components- medium",18 09 39 04,feeding seat for a child with basic supports,Each,Y,"$1,160.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,child postural chair with maximum components,18 09 39 05,"feeding seat for a child with supports for head, body hips feet etc.",Each,Y,"$1,100.00 ",Assistive technology,5
Personal Mobility Equipment,seat cushion- air cushion - other,18 10 06 01,,Each,Y,$1.00 ,Assistive technology,5
Personal Mobility Equipment,air cushion high profile,18 10 06 02,,Each,Y,$575.00 ,Assistive technology,5
Personal Mobility Equipment,air cushion low profile,18 10 06 04,,Each,Y,$716.00 ,Assistive technology,5
Personal Mobility Equipment,"combination cushion - gel, foam, and air",18 10 06 16,,Each,Y,$1.00 ,Assistive technology,5
Personal Mobility Equipment,wheelchair head rest- complex support needs,18 10 12 01,head support for person with very high support needs due to high muscle tone or complete paralysis,Each,Y,"$2,000.00 ",Assistive technology,5
Personal Mobility Equipment,customised backrest,18 10 13 01,back rest with components individually aligned for participant,Each,Y,"$1,260.00 ",Assistive technology,5
Personal Mobility Equipment,custom made back rest,18 10 13 02,"For example, moulded or shaped rest or seat.",Each,Y,"$3,000.00 ",Assistive technology,5
Personal Mobility Equipment,wheelchair tray,18 10 24 01,,Each,Y,$350.00 ,Assistive technology,5
Personal Mobility Equipment,custom made backrest and seat,18 10 39 06,"For example, moulded or shaped rest or seat.",Each,Y,"$4,500.00 ",Assistive technology,5
Personal Mobility Equipment,customised backrest and seat,18 10 39 07,"For example, moulded or shaped back rest and seats with components individually aligned for participant.",Each,Y,"$3,000.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,"beds - power adjust, estimate",18 12 10 01,,Each,Y,"$1,850.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,beds - power adjust 4 section,18 12 10 02,,Each,Y,"$1,850.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,beds - power adjust- child suitable rails,18 12 10 03,,Each,Y,"$2,500.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,beds - extra width or height power adjust,18 12 10 04,,Each,Y,"$4,000.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,beds - hi lo with companion bed,18 12 10 99,"hi-lo bed with second detachable bed for partner, detachment is to assist with care needs",Each,Y,"$4,500.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,bed blocks,18 12 12 05,,Each,N,$20.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,bed cradle- adjustable height,18 12 21 01,,Each,N,$70.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,sleep system,18 12 24 01,Positioning cushions to help a participant maintain a consistent and optimal position while sleeping or resting.,Each,Y,"$2,000.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,bed bolster,18 12 27 01,,Each,N,$210.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,bed wedges- foam 30cm,18 12 27 02,,Each,N,$125.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,bed rails covers,18 12 27 03,,Each,N,$190.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,bed rails,18 12 27 04,Rails which attach to a bed to prevent the participant falling out. Price guidance is for one bed rail.,Each,Y,$500.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,beds - extensions,18 12 33 00,,Each,Y,$250.00 ,Assistive technology,5
Home Modification,home modifications- bathroom modification minimal structural work,18 18 00 01,"Moving a bath tub or enlarging a shower recess to improve access, or similar smaller work.",Each,Y,"$3,000.00 ",Home modifications,7
Home Modification,home modifications- bathroom modification extensive structural work,18 18 00 02,"Extensive structural  bathroom changes. For example, removal of a bath or hobless-shower, electrical work, relocating plumbing, widening doorway, waterproofing or changes to the fit-out such as toilet, tap ware, basin, shower, rails paint and tiles.",Each,Y,"$13,000.00 ",Home modifications,7
Home Modification,home modifications- bathroom modification including combining bathroom and toilet or laundry.,18 18 00 03,"Modifications to combine bathroom, toilet and laundry. Includes  bath removal, hobless shower creation, plumbing relocation, electrical work, doorway changes, waterproofing and changes to bathroom fittings.",Each,Y,"$16,000.00 ",Home modifications,7
Home Modification,home modifications- kitchen adaption- no structural work,18 18 00 04,Modifications to a kitchen to enable a person with disability to access and use it.,Each,Y,"$3,000.00 ",Home modifications,7
Home Modification,home modifications- minor miscellaneous adjustments,18 18 00 05,"Lower cost adaptions such as door adjustments, safety installations and bathroom fittings.",Each,Y,$100.00 ,Home modifications,7
Home Modification,grab rails- internal supply and install,18 18 06 01,,Each,Y,$70.00 ,Home modifications,7
Home Modification,home modifications- rails- external,18 18 06 02,,Each,Y,$600.00 ,Home modifications,7
Home Modification,supply and install specialised wall taps,18 24 03 00,,Each,Y,$180.00 ,Home modifications,7
Home Modification,elevator- home,18 30 03 00,,Each,Y,$1.00 ,Home modifications,7
Home Modification,fixed vertical lifting platform-home,18 30 05 00,platform attached to stairs or vertical drop which a wheelchair or scooter rides on,Each,Y,$1.00 ,Home modifications,7
Home Modification,free standing vertical lifting platform- home,18 30 07 00,non enclosed lifting platform similar to a lift usually traversing smaller distances than an enclosed lift/ elevator,Each,Y,$1.00 ,Home modifications,7
